id,name,aliases,entity_type,risk_category,risk_score,country,date_of_birth,passport_number,national_id,address,phone_number,email,designation,sanctions_list,list_date,status,notes,last_updated
WL_000041,Beard-Jones 178,,Aircraft,Organized Crime,0.78,Russia,,,,"327 Burns Park Apt. 414, North Elizabethport, CT 74585",,,,ED,2022-03-28,Active,,2024-12-22
WL_000042,MV Dustin Diaz,,Vessel,Tax Evasion,0.64,Belarus,,,,"96588 Nicolas Wells, East Pamelaside, VA 75148",,sergiomueller@example.org,,OFAC,2021-10-13,Under Review,"Safe instead require. Door television alone red Republican.
Daughter huge yourself. Two approach glass party discuss true. Various watch century.",2024-09-09
WL_000043,"Cruz, Rivera and Stevens 565",,Aircraft,Human Trafficking,0.75,Mali,,,,"3210 Mary Avenue Suite 529, Saraberg, ME 03041",949-886-9798x5675,,,FATF,2019-12-19,Active,,2025-03-20
WL_000044,Evans-Taylor Council,,Organization,Terrorism Financing,0.71,Iran,,,,"757 Stacy Brooks Apt. 332, Duartehaven, MO 24440",933-233-6112x6908,,,OFAC,2018-03-12,Inactive,"Weight someone thing five. Whom manage call cost reduce similar.
Skin tree buy strong member owner. Possible pick item free word. Ahead compare nice arrive fact someone.",2024-12-15
WL_000045,Farid-Julie Reynolds,,Individual,Tax Evasion,0.93,Afghanistan,1986-03-08,888121987,,"6039 Jill Causeway Suite 553, Sarahborough, NV 05228",,,,ED,2015-07-23,Under Review,,2024-07-21
WL_000046,Andrew Smith,,Individual,Drug Trafficking,0.65,Iran,1946-04-29,,108-12-2895,,,,Legal executive,SEBI,2017-12-19,Active,,2024-08-22
WL_000047,Adams-Flores 974,,Aircraft,Fraud,0.7,Russia,,,,,665.925.7665x7453,,,FATF,2017-09-01,Under Review,,2025-05-02
WL_000048,Villa-Glover,,Organization,Money Laundering,0.83,Russia,,,,"4775 Anderson Grove Suite 222, Emilystad, MP 43840",597.416.8154x11346,,,UN,2024-09-30,Under Review,,2025-04-26
WL_000049,"Bell, Serrano and Buckley Holdings",Kim and Sons,Organization,Drug Trafficking,0.78,Russia,,,,"9036 Waller Divide, Lorraineville, VA 17762",3552899205,,,EU,2019-06-29,Active,,2024-09-10
WL_000050,MV Robert Carpenter,,Vessel,Sanctions Violation,0.93,Sudan,,,,"099 Tony Orchard Suite 537, Lambertville, CO 96549",001-930-288-2234x439,,,UN,2022-08-21,Inactive,Myself operation often site social child soldier. Great spend example response decade everything employee.,2024-12-10
WL_000051,Hart-Hawkins Holdings,,Organization,Money Laundering,0.72,Afghanistan,,,,"00026 Richard Keys Suite 265, South Timothyside, TN 91624",,alison68@example.net,,ED,2022-05-10,Active,,2024-08-20
WL_000052,Mclaughlin Group,,Organization,Tax Evasion,0.79,Belarus,,,,"USNV Blevins, FPO AE 43736",001-619-203-5800x168,,,SEBI,2016-06-19,Under Review,"Animal body north employee. Analysis science cup. Radio night lose feeling music prove never.
Six finish though. Fact affect break rich region country political could.",2025-05-26
WL_000053,MV William Jackson,,Vessel,Terrorism Financing,0.62,Somalia,,,,,,,,SEBI,2019-11-13,Inactive,Quite girl cell name per article with establish. Can success final trouble various. Goal our American painting. Learn site others too image certainly.,2025-01-28
WL_000054,Ruiz-Harper Coalition,,Organization,Human Trafficking,0.8,Nicaragua,,,,,,bwalker@example.net,,EU,2021-04-04,Under Review,Sign agent technology worker responsibility mind when audience. Make present ask sister argue side nothing. Even four coach large. Crime better enjoy.,2025-06-06
WL_000055,Jonathan Warren,Valerie Martinez,Individual,Politically Exposed Person (PEP),0.87,Iraq,1992-09-29,,559-89-5896,"USS Harris, FPO AP 42251",342.272.7178,,,OFAC,2018-01-07,Under Review,Coach space project drive adult reflect. Drive life treatment bed area avoid speak.,2024-10-26
WL_000056,Mark Huynh,Jennifer Sanchez; Ms. Karina Smith,Individual,Corruption,0.66,Iran,1954-06-23,949213566,693-80-4828,"746 Christine Wells, Warrenfurt, OR 23720",,amandajohnson@example.net,,FATF,2017-10-28,Active,"Heavy already author hand fight. Shake safe project foot entire suggest often. Ok exist on statement remain whatever.
Billion stay six available. Technology training east marriage.",2024-11-19
WL_000057,"Watson, Ramirez and Merritt Cartel",,Organization,Money Laundering,0.94,Myanmar,,,,,,rmccarty@example.net,,OFAC,2015-10-16,Active,,2024-12-08
WL_000058,Cooper-Simmons 365,,Aircraft,Organized Crime,0.79,Sudan,,,,"2184 Penny Dam, Frankberg, TX 63155",001-910-446-3529,,,RBI,2025-02-22,Active,Modern season decade she the three although. People box her second eat nearly.,2025-04-30
WL_000059,Johnson-Price 871,,Aircraft,Sanctions Violation,0.86,North Korea,,,,"3445 Brittany Plains Apt. 199, Heidichester, MI 51441",,,,OFAC,2020-06-09,Active,,2025-02-23
WL_000060,"Scott, Moran and Edwards 222",,Aircraft,Corruption,0.75,Mali,,,,,,lindseyriddle@example.net,,RBI,2021-03-26,Under Review,,2024-12-11
WL_000061,MV Glen Chen,,Vessel,Sanctions Violation,0.91,Pakistan,,,,"03106 Lisa Park, Christymouth, MA 35822",,,,ED,2016-01-20,Active,,2024-10-28
WL_000062,MV John Jones,,Vessel,Politically Exposed Person (PEP),0.94,Belarus,,,,"091 Chavez Spur Apt. 006, Barnesview, VT 02478",,,,RBI,2018-10-24,Active,"Eight avoid lay stop near. Star operation investment air.
Huge child day within any age trial agent. Price both machine new. Report example gun commercial later manager house.",2024-07-25
WL_000063,"Mendez, Smith and Davis",,Organization,Politically Exposed Person (PEP),0.74,Libya,,,,"PSC 5417, Box 3468, APO AA 40544",,,,FATF,2023-09-03,Under Review,,2025-05-06
WL_000064,Kimberly Jenkins,,Individual,Sanctions Violation,0.9,Lebanon,1987-10-28,J67004606,,,,linda53@example.com,Chartered public finance accountant,RBI,2020-07-18,Under Review,,2024-11-02
WL_000065,"Smith, Barrett and Baker 154",,Aircraft,Organized Crime,0.91,Cuba,,,,"2122 Robin Streets Suite 182, East Charlene, WI 42629",+1-676-733-3296,,,FATF,2022-07-04,Under Review,"Beyond sell help. Young thus woman believe.
Light their crime. If chair team exactly nothing available.
He gas big suggest time. Final phone bill.",2025-01-04
WL_000066,MV Lisa Oneill,,Vessel,Sanctions Violation,0.96,Venezuela,,,,"Unit 3178 Box 2129, DPO AE 24847",7126666526,,,FATF,2020-09-18,Inactive,,2024-10-23
WL_000067,MV Sarah Valenzuela,,Vessel,Tax Evasion,0.65,China,,,,"936 Blanchard Estate Apt. 304, Wisehaven, TN 14264",,,,ED,2019-04-22,Active,"Modern tree stop away benefit. Animal truth close from safe near.
Make beautiful trouble around significant spring close write. Either class through gas situation all later.",2025-01-10
WL_000068,"Russell, Warner and Ferguson 309",,Aircraft,Tax Evasion,0.81,Sudan,,,,,878.391.3999x17302,,,OFAC,2023-06-10,Inactive,,2024-09-16
WL_000069,Keith Brown,,Individual,Terrorism Financing,0.99,North Korea,1979-11-12,,,,,rodney26@example.com,,ED,2018-02-21,Active,,2025-06-25
WL_000070,Price and Sons 104,,Aircraft,Terrorism Financing,0.83,Russia,,,,"USNV Diaz, FPO AP 18492",,marquezmichelle@example.com,,ED,2015-08-01,Active,,2025-06-24
WL_000071,Rashid-Abigail Lee,Brittany Brown; Jessica Conner,Individual,Organized Crime,0.93,Somalia,1975-09-17,M46920928,,"229 Thomas Harbors Apt. 602, South Dawnberg, DC 65147",,,"Programmer, multimedia",SEBI,2021-02-07,Inactive,"Assume safe street personal history piece leave.
Stage environment could reach radio democratic. Day hope security program choice loss. Effect coach both feeling. Style interest answer.",2025-02-07
WL_000072,Abdul-Brianna Johnson,,Individual,Terrorism Financing,0.65,Iran,1972-03-01,,,"92234 Tamara Isle Suite 032, Brianview, NE 81073",2107209780,,Location manager,RBI,2019-12-08,Under Review,,2025-02-06
WL_000073,Sara Johnson,Jillian Miller,Individual,Organized Crime,0.9,Lebanon,1948-11-12,R25829047,730-61-0986,"851 Watson Point, Samanthaport, PA 13079",,,Outdoor activities/education manager,EU,2018-11-06,Under Review,,2024-09-11
WL_000074,Crystal Duncan,,Individual,Sanctions Violation,0.71,Cuba,1961-02-11,178334176,025-48-5341,,001-453-846-2812x97002,,"Designer, exhibition/display",RBI,2017-08-03,Active,"Key control inside building. Start probably especially more. Education week alone hand. Not exactly television onto.
Congress stay argue fall institution until follow. Body poor Democrat work.",2025-06-12
WL_000075,Clark Inc 795,,Aircraft,Politically Exposed Person (PEP),0.77,Syria,,,,,,smithcrystal@example.com,,SEBI,2021-06-26,Inactive,Participant whom radio glass continue guess the respond. Under security mission somebody. War somebody without thing coach social.,2025-01-20
WL_000076,MV Mary Hernandez,,Vessel,Terrorism Financing,0.87,Russia,,,,"420 Wallace Prairie Suite 079, New Maria, MD 43653",001-422-205-3788x83135,kellypeck@example.com,,OFAC,2022-07-01,Active,,2024-10-16
WL_000077,Tariq-Craig Brewer,,Individual,Fraud,0.72,Belarus,1956-01-31,,126-64-3061,,,,,RBI,2023-03-01,Inactive,,2024-11-28
WL_000078,MV Sarah Reid,,Vessel,Corruption,0.94,Russia,,,,,,nlong@example.org,,UN,2016-06-28,Under Review,"Effort light country with. Sing keep strategy treatment check decide build.
About lawyer case. Whom control rock who purpose. Huge dark customer what gas.",2024-12-05
WL_000079,Parsons Ltd 413,,Aircraft,Fraud,0.9,Iran,,,,,(444)406-5089,valenzuelamegan@example.com,,UN,2018-09-03,Under Review,,2025-01-04
WL_000080,Ibn-Jennifer Allison,,Individual,Politically Exposed Person (PEP),0.74,Venezuela,1946-07-25,,,"3519 Owens Hills Apt. 386, Nicholasfort, AK 66534",,,,EU,2022-02-07,Active,,2025-06-10
WL_000081,MV Larry Johnson,,Vessel,Politically Exposed Person (PEP),0.8,Libya,,,,,,dianamoore@example.net,,SEBI,2020-12-04,Under Review,,2024-11-22
WL_000082,"Roberts, Miller and White Front",Carpenter LLC,Organization,Drug Trafficking,0.73,Iran,,,,,+1-287-560-4360,alyssastevens@example.net,,UN,2024-10-26,Active,,2025-04-09
WL_000083,Rashid-Jessica Green,,Individual,Sanctions Violation,0.97,Nicaragua,1996-04-18,262502818,372-93-2929,,,,,UN,2023-05-28,Active,"Actually heavy case source similar away realize exactly. Staff any color we.
Whom live member region point wish check. Officer population beyond. Happen main area.",2024-08-04
WL_000084,MV Adrian Jordan,,Vessel,Fraud,0.81,North Korea,,,,"64692 Silva Dale, Morrisborough, AK 80267",712-953-5346x336,,,FATF,2019-05-11,Active,,2025-01-07
WL_000085,Jones PLC 323,,Aircraft,Fraud,0.7,India,,,,"USNV Armstrong, FPO AE 43168",(397)579-6457x532,,,ED,2016-06-30,Under Review,,2025-02-10
WL_000086,MV Michael Jones,,Vessel,Fraud,0.97,Yemen,,,,"1611 Bell Neck, Port Robert, NV 51738",,floresryan@example.org,,EU,2018-06-21,Inactive,,2024-12-24
WL_000087,Robbins-Richards 618,,Aircraft,Sanctions Violation,0.87,Libya,,,,"345 Turner Village, Vincentville, OH 16992",,,,OFAC,2024-08-19,Inactive,Pass capital man analysis just travel conference. Sit able always trip heart style allow.,2024-07-07
WL_000088,MV Terrance Day,,Vessel,Fraud,0.86,Mali,,,,"7241 Kyle Knolls, Rebeccashire, PA 16289",,burnsmarissa@example.net,,SEBI,2025-02-06,Under Review,"Quality away common. Sport anything prove could account.
Spend total yeah under back crime high.
Nature glass enough number agreement. Field firm community beat.",2024-11-20
WL_000089,"Davis, Quinn and Williams Council",,Organization,Sanctions Violation,0.91,Belarus,,,,,,,,UN,2024-04-04,Active,,2024-07-08
WL_000090,MV Lauren Young,,Vessel,Drug Trafficking,0.72,Syria,,,,"72065 Ethan Villages, Jeromemouth, IN 77346",,,,RBI,2021-10-31,Under Review,"You summer lose reduce former million draw culture. Ago space ready item form lose score.
Right someone administration during. State open most compare sound director.",2024-07-13
WL_000091,Amy Miller,Christina Brewer,Individual,Human Trafficking,0.77,Somalia,1988-09-17,V25810606,127-13-6612,,,,Computer games developer,UN,2016-05-02,Under Review,,2024-07-21
WL_000092,James Marquez,Diana Woods; Robin Lewis; Caroline Harding,Individual,Tax Evasion,0.6,North Korea,1976-09-11,B55016563,,"1782 Megan Glens Apt. 488, Heatherburgh, CA 57918",,jasonolson@example.net,Physiological scientist,FATF,2016-03-05,Active,"Alone only of water. Street firm authority technology lay reach. Career where student population.
Democratic soon such manage member common. Of worker financial effort big.",2025-06-08
WL_000093,Melissa Simon,,Individual,Fraud,0.94,Iraq,1947-09-25,764573338,704-72-3851,,,,Public house manager,UN,2025-06-08,Active,"Government account purpose practice. Eat figure likely.
With sport main stand focus arrive morning. Picture though into share against.",2024-09-06
WL_000094,Kelly-Chan,,Organization,Organized Crime,0.7,Iraq,,,,,,,,UN,2021-08-21,Under Review,Create end network trip young. Maybe determine green across investment. Tree unit resource teach me traditional public close.,2025-01-19
WL_000095,MV Patricia Oliver,,Vessel,Human Trafficking,0.96,Iraq,,,,"54227 Charles Circles Suite 589, New Tara, NC 55129",,,,EU,2024-11-24,Under Review,"Around appear couple perhaps know weight. Read certainly discussion account too.
Result little such station. None study work image it your begin.",2025-03-22
WL_000096,MV Lori Jordan,,Vessel,Terrorism Financing,0.87,North Korea,,,,,,aperez@example.net,,EU,2021-12-06,Active,,2025-01-31
WL_000097,MV Jessica Garner,,Vessel,Terrorism Financing,0.77,Venezuela,,,,,,,,EU,2024-05-19,Active,,2024-12-27
WL_000098,Clark PLC,Jackson PLC,Organization,Politically Exposed Person (PEP),0.71,Pakistan,,,,"4920 Kimberly Dale, East Michael, SD 12586",,,,RBI,2020-03-06,Active,,2025-04-19
WL_000099,"Adkins, Beltran and Hill",,Organization,Drug Trafficking,0.64,Venezuela,,,,,2006505089,,,RBI,2024-03-20,Active,,2025-02-13
WL_000100,Brown-Brown 897,,Aircraft,Fraud,0.7,Syria,,,,,,christopher68@example.org,,SEBI,2025-02-08,Inactive,"Majority population budget full hundred. Spend front old. During decade economic adult.
Fly stage experience activity know start line. Play place tend left. Cost seem before tax option human that.",2025-06-29
WL_000101,Sabrina Carr,Michael Thomas; Ellen King; Adam Nelson,Individual,Politically Exposed Person (PEP),0.73,Sudan,1957-06-05,S75782615,,"197 Fitzgerald Burg Suite 841, Silvaborough, ND 76236",,,,RBI,2015-12-30,Inactive,,2024-12-22
WL_000102,MV David Richardson,,Vessel,Terrorism Financing,0.83,India,,,,"31528 Nancy Island Apt. 161, Jamesfort, CA 33113",,,,EU,2016-04-12,Active,,2024-12-16
WL_000103,"Deleon, Hernandez and Gibson Trust",,Organization,Human Trafficking,0.76,India,,,,"67998 Zachary Avenue, Garciaville, DE 24811",311.293.4355x313,,,EU,2022-10-29,Active,"Hold group lose improve assume strong. Paper low provide fight focus guy likely. Control offer either tough.
Skin deal why three. Key capital this economy high think save. Bring edge owner many hand.",2024-10-21
WL_000104,Skinner-Lee Foundation,Rodriguez-Schultz,Organization,Sanctions Violation,0.77,Libya,,,,"373 Philip Drive Suite 444, Port Donnaport, PR 19855",001-738-313-5253x3362,,,EU,2022-01-16,Active,,2025-03-31
WL_000105,Stewart LLC,"Roberson, Dodson and Tran",Organization,Sanctions Violation,0.91,Iran,,,,,001-764-883-6058x1251,,,EU,2024-07-06,Under Review,"International analysis actually ball several store purpose. End poor trade likely. Idea choose include school cost.
Dream green feel have. When experience short raise. Fall develop wide himself have.",2025-03-20
WL_000106,Morgan-Erickson,,Organization,Money Laundering,0.94,Somalia,,,,"911 Gutierrez Terrace, East Christopher, MH 23589",,,,EU,2022-10-20,Inactive,,2024-10-17
WL_000107,Coleman Ltd 512,,Aircraft,Human Trafficking,0.8,Myanmar,,,,"7042 Stewart Fork Suite 117, East Samantha, FM 93923",(927)794-2809,,,SEBI,2020-09-24,Inactive,,2025-03-09
WL_000108,MV Victor Gibson,,Vessel,Money Laundering,0.73,Myanmar,,,,"330 White Circles Apt. 918, North Candice, MS 97007",(305)947-5869,,,EU,2020-11-26,Under Review,"World real never style chance picture can. Cause similar year process. General customer prevent record.
Herself close skin too quite. Reality artist science edge number factor player.",2024-09-03
WL_000109,MV Brittany Frederick,,Vessel,Corruption,0.89,Syria,,,,"0956 Brown Lodge, West Austintown, HI 85620",,,,EU,2016-10-17,Under Review,,2025-04-28
WL_000110,MV Andrew Watson,,Vessel,Sanctions Violation,0.64,Belarus,,,,"Unit 8359 Box 3334, DPO AP 45267",,vmayo@example.net,,FATF,2017-03-13,Under Review,War tree firm crime still serious forward. Single hair idea feel his professor truth. Fire foreign listen light service.,2024-09-01
WL_000111,Williams-Foster 129,,Aircraft,Corruption,0.78,Yemen,,,,"64629 Parks Hill Apt. 659, Port Michael, CO 49253",+1-723-912-4866x84300,,,RBI,2024-04-28,Under Review,"Feeling then finish plan heart maybe south affect. Degree break beat response amount which move.
We force improve someone.",2024-07-11
WL_000112,MV Darrell Mcknight,,Vessel,Terrorism Financing,1.0,Iraq,,,,,,,,SEBI,2018-06-12,Under Review,Almost television sit both discover will pretty. Imagine six beat team woman each for. Maybe station seem job candidate fact green.,2025-02-24
WL_000113,"Collins, Paul and Olson 331",,Aircraft,Fraud,0.67,North Korea,,,,"38759 Webster Manor, Wrighthaven, ME 18613",,,,UN,2023-12-13,Inactive,,2025-02-19
WL_000114,"Kim, Reeves and Sutton Council",,Organization,Money Laundering,0.61,Mali,,,,"860 Jacob Flats, Donnaborough, GA 94058",+1-363-503-9155x692,,,OFAC,2023-09-18,Under Review,,2025-01-03
WL_000115,Jones Ltd 453,,Aircraft,Human Trafficking,0.72,Libya,,,,"59602 Sweeney Mill, Leahstad, IN 21892",879-761-9616,,,EU,2020-11-11,Inactive,,2024-12-04
WL_000116,Lee-Walsh Foundation,,Organization,Drug Trafficking,0.91,North Korea,,,,"46728 Jeanette Prairie, South Tanner, VT 05007",001-536-741-4943x95290,,,SEBI,2021-09-07,Active,When imagine stop able. Technology thousand program grow really sometimes. Drug realize lead well note accept. Operation economy page agency collection.,2024-11-03
